Likes,talking_about_count,were_here_count,State,Sunshine,,State,name,Academics,Athletics,Campus Dining,Campus Housing,Campus Strictness,Computers,Diversity,Drug Safety,Facilities,Girls,Greek Life,Guys,Health & Safety,Local Atmosphere,Nightlife,Off-Campus Dining,Off-Campus Housing,Parking,Transportation,Weather,Difference from Mean,Sum,Sum of Squares,Well-being
76272,1164,104470,Virginia,2829,,Georgia,Emory University,11,7,10,10,10,9,11,6,11,8,11,7,9,10,10,9,10,5,10,11,0.08151,5.45675,30.6846,5.45675
81163,4164,177146,Virginia,2829,,District of Columbia,George Washington University,10,5,7,7,11,6,10,6,6,7,7,6,4,11,12,10,7,3,11,6,0.0166,5.39184,29.65932,5.39184
78096,3690,155363,Georgia,2986,,District of Columbia,Georgetown University,11,11,9,8,9,6,10,6,8,12,12,7,11,10,10,8,3,8,9,,0.05463,5.42987,30.20207,5.42987
3242534,21305,563599,Massachusetts,2634,,Georgia,Georgia Institute of Technology,10,12,6,6,9,12,9,6,9,4,10,6,7,9,9,10,6,5,10,9,0.03692,5.41216,30.05961,5.41216
63822,1925,78872,Maryland,2582,,Massachusetts,Harvard University,12,7,11,12,11,12,11,7,12,6,9,7,10,10,12,5,3,12,5,,0.07452,5.44976,30.5453,5.44976
8506,282,2754,Pennsylvania,2614,,Maryland,Johns Hopkins University,11,7,7,9,11,8,10,6,8,6,7,7,9,8,9,8,9,5,10,9,0.06933,5.44457,30.69825,5.44457
370023,9950,0,massachusetts,2634,,Pennsylvania,Lehigh University,11,7,8,9,10,10,6,4,9,9,9,11,6,4,12,9,7,6,8,6,0.08136,5.4566,30.77546,5.4566
265046,4559,127152,New York,2120,,Massachusetts,Massachusetts Institute of Technology,12,8,8,10,12,12,12,8,10,8,12,8,6,11,11,9,7,4,11,7,0.07509,5.45033,30.53052,5.45033
76427,5983,0,Illinois,2567,,New York,New York University,11,4,11,7,10,8,11,5,9,9,5,8,8,12,12,12,6,3,10,6,0.00479,5.38003,29.70076,5.38003
331857,11131,196843,Pennsylvania,2614,,Illinois,Northwestern University,12,11,9,8,8,7,9,6,9,9,11,7,7,9,8,11,7,5,8,4,0.07632,5.45156,30.49756,5.45156
222690,4610,267720,New Jersey,2499,,Pennsylvania,Pennsylvania State University University Park,10,12,11,7,9,9,8,6,11,10,9,10,9,9,12,10,9,6,11,5,0.11736,5.4926,31.11228,5.4926
23032,819,27931,Texas,2850,,New Jersey,Princeton University,12,7,12,10,11,11,12,6,12,9,9,11,8,6,7,4,5,7,7,,0.13135,5.50659,31.23814,5.50659
683980,8503,506589,California,3055,,Texas,Rice University,12,7,12,12,12,11,12,6,10,9,10,10,12,10,12,12,6,9,11,,-0.20647,5.16877,27.47108,5.16877
20613,1599,35314,Massachusetts,2634,,California,Stanford University,12,11,11,11,12,12,12,7,12,9,9,9,9,7,8,7,4,6,9,12,0.0777,5.45294,30.35171,5.45294
230993,9797,0,California,3055,,Massachusetts,Tufts University,11,4,12,6,10,8,9,6,8,9,6,8,8,9,8,9,7,6,10,5,0.0943,5.46954,30.94409,5.46954
71178,9188,233571,California,3055,,California,University of California Berkeley,11,11,10,6,10,9,11,5,7,8,9,8,5,9,8,12,6,4,11,10,0.06055,5.43579,30.36755,5.43579
42072,3355,163007,California,3055,,California,University of California Davis,10,7,11,10,6,8,9,8,9,9,9,9,9,9,8,10,10,7,12,8,0.08473,5.45997,30.70316,5.45997
32977,1977,86895,California,3055,,California,University of California Irvine,10,6,9,9,7,8,8,9,10,8,9,7,10,9,7,8,10,6,9,12,0.07738,5.45262,30.67594,5.45262
36347,2284,3577,California,3055,,California,University of California Los Angeles,11,11,12,8,9,8,11,7,10,10,9,10,8,11,10,11,8,3,9,12,0.07157,5.44681,30.55768,5.44681
106735,1811,72713,Illinois,2567,,California,University of California San Diego,10,5,9,7,6,9,9,7,7,7,7,6,8,9,8,8,9,4,10,12,0.06025,5.43549,30.42436,5.43549
131296,7244,288233,Illinois,2567,,California,University of California Santa Barbara,10,8,10,8,8,8,9,5,8,12,9,12,7,10,10,9,7,7,11,12,0.07779,5.45303,30.76218,5.45303
214706,2348,7997,Florida,2927,,California,University of Chicago,12,5,11,10,12,9,12,6,11,7,7,6,5,9,8,6,9,6,9,5,0.05375,5.42899,30.36166,5.42899
565825,10750,64349,Michigan,2392,,California,University of Illinois Urbana Champaign,10,11,10,7,8,10,9,6,9,11,9,10,6,8,12,8,9,5,10,6,0.07862,5.45386,30.6395,5.45386
217680,1372,0,North Carolina,2651,,California,University of Miami,10,11,8,6,8,11,12,6,9,12,8,12,9,9,11,10,8,6,8,12,0.08129,5.45653,30.70466,5.45653
95896,6689,0,Indiana,2440,,California,University of Michigan Ann Arbor,11,12,11,8,10,10,9,6,10,9,8,10,7,10,11,11,8,4,12,6,0.14033,5.51557,31.34602,5.51557
82883,6575,200640,Pennsylvania,2614,,California,University of North Carolina Chapel Hill,11,11,9,7,10,8,8,6,11,12,7,10,7,9,10,11,8,3,10,9,0.0938,5.46904,30.66004,5.46904
24492,697,57933,New York,2120,,California,University of Notre Dame,12,11,11,10,9,11,5,8,11,8,11,9,5,9,8,11,9,7,3,,0.12101,5.49625,31.22565,5.49625
133334,6219,367097,California,3055,,California,University of Pennsylvania,12,6,7,6,11,9,11,5,10,10,12,10,9,10,12,11,9,4,10,9,0.04265,5.41789,30.21907,5.41789
524202,11212,385155,Texas,2850,,New York,University of Rochester,11,7,8,8,10,7,9,5,9,8,10,9,6,7,8,9,7,4,8,4,0.05221,5.42745,30.38123,5.42745
97846,2777,0,Virginia,2829,,California,University of Southern California,11,12,9,9,10,9,11,6,10,11,9,12,8,8,11,8,8,6,8,12,0.0624,5.43763,30.54271,5.43763
251394,5952,20124,Washington,2170,,Texas,University of Texas Austin,10,12,10,8,10,10,10,6,10,12,7,11,8,12,12,12,10,4,11,11,0.06427,5.43951,30.40743,5.43951
203857,20687,0,Wisconsin,2428,,Virginia,University of Virginia,11,11,7,10,11,6,8,6,9,12,9,12,6,9,11,12,11,3,10,9,0.07609,5.45133,30.68604,5.45133
73258,1712,0,Tennessee,2510,,Washington,University of Washington,9,11,9,7,9,9,9,8,10,8,9,7,7,10,11,11,7,4,9,6,0.10142,5.47666,30.8538,5.47666
21065,906,0,North Carolina,2651,,Wisconsin,University of Wisconsin Madison,10,12,10,8,10,10,8,4,11,12,9,12,8,11,12,11,9,4,9,4,0.00075,5.37599,29.51831,5.37599
30114,2062,0,Missouri,2690,,Tennessee,Vanderbilt University,12,11,9,8,11,11,7,5,10,12,12,10,8,11,11,11,6,5,9,6,0.09306,5.4683,30.77022,5.4683
839760,7398,199661,Connecticut,2585,,North Carolina,Wake Forest University,11,11,8,8,9,8,5,5,9,12,10,12,9,6,9,10,10,4,8,9,0.08726,5.4625,30.81082,5.4625
,,,,,,Missouri,Washington University in St. Louis,12,5,12,12,11,8,8,6,12,7,11,9,8,10,8,11,11,7,11,8,0.053,5.42824,30.36292,5.42824
,,,,,,Connecticut,Yale University,12,8,11,12,12,12,12,6,12,11,6,12,6,7,12,12,5,6,9,5,0.0434,5.41864,30.37089,5.41864
